file,ike_version,ike_enc,ike_integ,dh_group,pfs,mode,esp_cipher,traffic_label,latency_ms,jitter_ms,loss_pct
cfg0_icmp_transport_3des-family_3des_dh2_pfsoff.pcap,2.0,3DES,HMAC-MD5-96,2,off,transport,3des-family,icmp,10,1,0
cfg0_bulk_transport_3des-family_3des_dh2_pfsoff.pcap,2.0,3DES,HMAC-MD5-96,2,off,transport,3des-family,bulk,15,3,1
cfg0_voip_transport_3des-family_3des_dh2_pfsoff.pcap,2.0,3DES,HMAC-MD5-96,2,off,transport,3des-family,voip,20,5,2
cfg0_web_transport_3des-family_3des_dh2_pfsoff.pcap,2.0,3DES,HMAC-MD5-96,2,off,transport,3des-family,web,25,1,3
cfg0_mixed_transport_3des-family_3des_dh2_pfsoff.pcap,2.0,3DES,HMAC-MD5-96,2,off,transport,3des-family,mixed,30,3,0
cfg1_icmp_tunnel_aes-cbc-family_aescbc_dh14_pfsoff.pcap,2.0,AES-CBC,HMAC-SHA1-96,14,off,tunnel,aes-cbc-family,icmp,12,1,1
cfg1_bulk_tunnel_aes-cbc-family_aescbc_dh14_pfsoff.pcap,2.0,AES-CBC,HMAC-SHA1-96,14,off,tunnel,aes-cbc-family,bulk,17,3,2
cfg1_voip_tunnel_aes-cbc-family_aescbc_dh14_pfsoff.pcap,2.0,AES-CBC,HMAC-SHA1-96,14,off,tunnel,aes-cbc-family,voip,22,5,3
cfg1_web_tunnel_aes-cbc-family_aescbc_dh14_pfsoff.pcap,2.0,AES-CBC,HMAC-SHA1-96,14,off,tunnel,aes-cbc-family,web,27,1,0
cfg1_mixed_tunnel_aes-cbc-family_aescbc_dh14_pfsoff.pcap,2.0,AES-CBC,HMAC-SHA1-96,14,off,tunnel,aes-cbc-family,mixed,32,3,1
cfg2_icmp_tunnel_aes-gcm-family_aesgcm16_dh19_pfson.pcap,2.0,AES-GCM-16,SHA2-256-128,19,on,tunnel,aes-gcm-family,icmp,14,1,2
cfg2_bulk_tunnel_aes-gcm-family_aesgcm16_dh19_pfson.pcap,2.0,AES-GCM-16,SHA2-256-128,19,on,tunnel,aes-gcm-family,bulk,19,3,3
cfg2_voip_tunnel_aes-gcm-family_aesgcm16_dh19_pfson.pcap,2.0,AES-GCM-16,SHA2-256-128,19,on,tunnel,aes-gcm-family,voip,24,5,0
cfg2_web_tunnel_aes-gcm-family_aesgcm16_dh19_pfson.pcap,2.0,AES-GCM-16,SHA2-256-128,19,on,tunnel,aes-gcm-family,web,29,1,1
cfg2_mixed_tunnel_aes-gcm-family_aesgcm16_dh19_pfson.pcap,2.0,AES-GCM-16,SHA2-256-128,19,on,tunnel,aes-gcm-family,mixed,34,3,2
cfg3_icmp_transport_aes-cbc-family_aescbc_dh20_pfson.pcap,2.0,AES-CBC,SHA2-256-128,20,on,transport,aes-cbc-family,icmp,16,1,3
cfg3_bulk_transport_aes-cbc-family_aescbc_dh20_pfson.pcap,2.0,AES-CBC,SHA2-256-128,20,on,transport,aes-cbc-family,bulk,21,3,0
cfg3_voip_transport_aes-cbc-family_aescbc_dh20_pfson.pcap,2.0,AES-CBC,SHA2-256-128,20,on,transport,aes-cbc-family,voip,26,5,1
cfg3_web_transport_aes-cbc-family_aescbc_dh20_pfson.pcap,2.0,AES-CBC,SHA2-256-128,20,on,transport,aes-cbc-family,web,31,1,2
cfg3_mixed_transport_aes-cbc-family_aescbc_dh20_pfson.pcap,2.0,AES-CBC,SHA2-256-128,20,on,transport,aes-cbc-family,mixed,36,3,3
cfg4_icmp_tunnel_aes-gcm-family_aesgcm16_dh20_pfsoff.pcap,2.0,AES-GCM-16,SHA2-384-192,20,off,tunnel,aes-gcm-family,icmp,18,1,0
cfg4_bulk_tunnel_aes-gcm-family_aesgcm16_dh20_pfsoff.pcap,2.0,AES-GCM-16,SHA2-384-192,20,off,tunnel,aes-gcm-family,bulk,23,3,1
cfg4_voip_tunnel_aes-gcm-family_aesgcm16_dh20_pfsoff.pcap,2.0,AES-GCM-16,SHA2-384-192,20,off,tunnel,aes-gcm-family,voip,28,5,2
cfg4_web_tunnel_aes-gcm-family_aesgcm16_dh20_pfsoff.pcap,2.0,AES-GCM-16,SHA2-384-192,20,off,tunnel,aes-gcm-family,web,33,1,3
cfg4_mixed_tunnel_aes-gcm-family_aesgcm16_dh20_pfsoff.pcap,2.0,AES-GCM-16,SHA2-384-192,20,off,tunnel,aes-gcm-family,mixed,38,3,0
cfg5_icmp_tunnel_3des-family_3des_dh14_pfsoff.pcap,2.0,3DES,HMAC-SHA1-96,14,off,tunnel,3des-family,icmp,20,1,1
cfg5_bulk_tunnel_3des-family_3des_dh14_pfsoff.pcap,2.0,3DES,HMAC-SHA1-96,14,off,tunnel,3des-family,bulk,25,3,2
cfg5_voip_tunnel_3des-family_3des_dh14_pfsoff.pcap,2.0,3DES,HMAC-SHA1-96,14,off,tunnel,3des-family,voip,30,5,3
cfg5_web_tunnel_3des-family_3des_dh14_pfsoff.pcap,2.0,3DES,HMAC-SHA1-96,14,off,tunnel,3des-family,web,35,1,0
cfg5_mixed_tunnel_3des-family_3des_dh14_pfsoff.pcap,2.0,3DES,HMAC-SHA1-96,14,off,tunnel,3des-family,mixed,40,3,1
ikev1_aggressive_1.pcap,1.0,3DES,MD5,2,off,transport,3des-family,icmp,0,0,0
ikev1_aggressive_2.pcap,1.0,3DES,MD5,2,off,transport,3des-family,icmp,0,0,0
